graph,n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
Grid,100,10,Uniform,10.713450674015302,1.081336767480706,0.9627272727272725,0.007885678261788083,4.6984192866626495,12,0.5688176610420483,111,1.1860652333327228
Grid,100,11,Fixed,10.21044016114386,1.3484492108288877,0.9196969696969697,0.003823490410192016,4.511958894890512,0,0.6411218962747014,99,1.1271649105311987
Grid,100,11,Uniform,10.77197655201788,0.9985297940915686,0.9749494949494949,0.008297128828324785,4.698294690832173,12,0.5343052974485665,111,1.18915480575513
Grid,100,12,Fixed,10.794876316859783,2.0520692921172006,0.8665656565656564,0.001987065171324614,4.473797088660764,0,0.5522759073021424,99,1.191048852249355
Grid,100,12,Uniform,10.718188126294427,1.4833139453726125,0.9110101010101009,0.003059228787200813,4.688809382795948,11,0.5967775083708577,110,1.1825874879249403
Grid,100,13,Fixed,11.089517558532291,1.4099161218853045,0.9221212121212122,0.004379832500459239,4.465993893655881,0,0.6282915299857013,99,1.218676230267847
Grid,100,13,Uniform,11.144446935967155,1.04043223407727,0.9671717171717171,0.006920572208043482,4.735662584181847,16,0.5389700915564597,115,1.224712662986399
Grid,100,14,Fixed,10.68583614631522,1.4964367726309409,0.9187878787878787,0.00376156594211182,4.482927627510403,0,0.6577046629523666,99,1.1846814711339981
Grid,100,14,Uniform,11.516712049020287,1.009531972295994,0.9743434343434343,0.010479793546544009,4.759855674885579,19,0.492389878163074,118,1.2767962362556633
Grid,100,15,Fixed,10.304621510586843,1.406922921937042,0.9319191919191919,0.005663640629990209,4.494132978307135,0,0.6498662384281124,99,1.1574118326551908
Grid,100,15,Uniform,11.086225505467539,1.0761543482187141,0.9641414141414141,0.008562539666859105,4.7326047868848695,16,0.5552289108910893,115,1.2452013464375329
Grid,100,16,Fixed,10.549634288745835,1.8082021630850038,0.8873737373737373,0.0023874625956359884,4.494017371839412,0,0.6320246978802087,99,1.1748047111199682
Grid,100,16,Uniform,11.10833874478157,0.9850020673822387,0.9767676767676767,0.010839577629783548,4.734089433467652,16,0.47620749329410783,115,1.2370219035940906
Grid,100,17,Fixed,10.05435816838098,1.4509203592186841,0.9225252525252523,0.0042632369105713485,4.530941469777997,0,0.6343724300640381,99,1.1056852620219246
Grid,100,17,Uniform,10.927645707220286,1.036582228636683,0.9676767676767676,0.009911780959317273,4.70817216919378,13,0.5833110161833566,112,1.2017213435928582
Grid,100,18,Fixed,9.991134524809315,1.348412847198541,0.9174747474747474,0.003948180024316459,4.531207117623446,0,0.6432138644259515,99,1.1092059117741213
Grid,100,18,Uniform,11.53371199776611,0.9792545534857432,0.9767676767676767,0.011039543672146513,4.760764232235812,19,0.45975909993381925,118,1.280461343089207
