trial,mu,demand,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
5,1.0,fixed,50,11.475406450833521,1.3370907324151704,0.9159183673469389,0.014542750567430176,3.388047898318507,4,0.6093233458177281,53,2.325809341190122
5,1.0,uniform,50,8.365263702221972,0.6766724564086706,0.9983673469387756,0.08410493225297679,4.058766473617191,18,0.37632752613240394,67,1.695452665969259
5,1.25,fixed,50,5.76358250733517,1.0528614726684145,0.8824489795918368,0.009699087732379374,3.602450659600903,0,0.5690135396518377,49,1.1681498247329136
5,1.25,uniform,50,5.906168641088405,0.7456998739735896,0.9914285714285714,0.04878597063895388,3.8292072014567418,4,0.38830461850296816,53,1.1970488587870294
5,1.5,fixed,50,5.499177229667991,1.1193892730937323,0.8828571428571428,0.009375598309266955,3.6881551219845656,0,0.5595892635399753,49,1.1145607630039824
5,1.5,uniform,50,5.6944147348416605,0.8179925990811928,0.9946938775510203,0.0376235156551051,3.810021263540372,3,0.45566409821078735,52,1.154131057549026
5,2.0,fixed,50,5.413223046957436,1.1152832091260156,0.8795918367346939,0.009315026406204937,3.696693811859548,0,0.5381089832546953,49,1.0971397642864988
5,2.0,uniform,50,4.999180671545672,0.9715678341526458,0.890204081632653,0.01123462130157384,3.7668325925682358,0,0.5826498292102269,49,1.0132225951206713
6,0.5,fixed,50,141.8632389799614,0.8999065078382309,1.0,2.00000000000015,5.355065281923141,191,0.914822335025381,240,29.07359573021206
6,0.5,uniform,50,8.039713545090883,0.8696277176171379,0.9514285714285715,0.020459927166035098,4.159256228991019,24,0.6250999155643118,73,1.6476670283109727
6,0.75,fixed,50,8.787039352492759,1.3062800904021477,0.8889795918367347,0.00913170235769797,3.6265635681447197,1,0.6850482570682415,50,1.8008247354053772
6,0.75,uniform,50,4.879452830546966,1.004967640532521,0.8751020408163264,0.008579441326252126,3.730729256126309,0,0.5549908659115821,49,1.0
6,1.0,fixed,50,11.994099662087509,1.236644098804313,0.9040816326530612,0.011784207369597057,3.4666173611367994,6,0.5291415994130595,55,2.458082920076721
6,1.0,uniform,50,8.874972888589976,0.6344920756853694,0.999591836734694,0.1173008542639681,4.073728449126985,21,0.4371686068343976,70,1.8188459232620822
6,1.25,fixed,50,5.773093661008655,1.1691466878795225,0.8583673469387755,0.007305874117933667,3.477398218947337,0,0.5359063545150502,49,1.1831436559581447
6,1.25,uniform,50,5.833622783112444,0.7199185076297459,0.9873469387755103,0.029629524113031023,3.7914276543431633,4,0.5202390881289967,53,1.1955485554839393
6,1.5,fixed,50,5.322291187712154,1.044306143845253,0.9016326530612245,0.012127300266935575,3.652495083565996,0,0.5676822491010138,49,1.0907557409701505
6,1.5,uniform,50,5.132743685618578,0.8062715168079232,0.9710204081632651,0.022879951554081804,3.7475664095383348,1,0.4956229431123649,50,1.0519096841116957
6,2.0,fixed,50,5.285387664322978,1.043366665759955,0.9012244897959184,0.01212433349249008,3.6574296148135144,0,0.5624067649609716,49,1.0831926955487154
6,2.0,uniform,50,5.082040701272027,1.320201470897014,0.8367346938775511,0.006143275533005555,3.7155981496819015,0,0.4921172248803829,49,1.0415185631997086
7,0.5,fixed,50,156.44103468790124,0.9197783315254657,1.0,2.000000000000247,5.388801416704126,203,0.9070298047276468,252,32.821709741064296
7,0.5,uniform,50,8.456648982068335,0.8522824397558482,0.9444897959183673,0.020978475865672638,4.21840210018185,29,0.6674913364471895,78,1.774225533762592
7,0.75,fixed,50,8.95333221270272,1.1788653337183563,0.8955102040816327,0.009775452599567235,3.6991943659286415,1,0.6958488358488357,50,1.8784308841149358
7,0.75,uniform,50,4.766388951766666,0.9519470332560731,0.8816326530612245,0.009650991225685863,3.714643394984351,0,0.5770342801175319,49,1.0
7,1.0,fixed,50,10.178924870618225,1.2221994208894622,0.9391836734693878,0.03159242878075214,3.3373444339140286,3,0.6213857971468877,52,2.13556320594554
7,1.0,uniform,50,8.328991198381383,0.6421406987325706,0.9967346938775511,0.08007355484649797,3.980269401545266,17,0.42861106107007707,66,1.747442620118997
